frame_id,elapsed_start_seconds,sum_tbt_debt,sum_ttft_debt,selected_budget,predicted_duration_seconds,actual_duration_seconds,prediction_error_seconds,action,selected_template,current_prefill_count,current_decode_count
114,14.618547944999998,0.0,0.0,0,0.12734232921444594,0.127522099,0.00017976978555406253,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
115,14.746070043999998,0.0,0.0,0,0.12734852011783157,0.127954965,0.0006064448821684332,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
116,14.874025008999999,0.0,0.0,0,0.12735883638658493,0.127052065,-0.00030677138658494196,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
117,15.001077073999998,0.0,0.0,0,0.12736031511657409,0.127596276,0.00023596088342592303,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
118,15.128673349999998,0.0,0.0,0,0.127366990817502,0.127308658,-5.833281750200481e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
119,15.255982007999998,0.0,0.0,0,0.12737086896265998,0.127783364,0.0004124950373400327,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
120,15.383765372,0.0,0.0,0,0.12737915251123139,0.127412802,3.364948876860563e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
121,15.511178174,0.0,0.0,0,0.12738389253516338,0.127495298,0.0001114054648366225,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
122,15.638673471999999,0.0,0.0,0,0.12738934305851163,0.127103937,-0.00028540605851162804,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
123,15.765777408999998,0.0,0.0,0,0.12739117691219579,0.127991877,0.0006007000878042179,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
124,15.893769285999998,0.0,0.0,0,0.1274010170794184,0.127446242,4.522492058159355e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
125,16.021215528,0.0,0.0,0,0.12740584932750942,0.128282918,0.0008770686724905719,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
126,16.149498446,0.0,0.0,0,0.12741803945173424,0.127540323,0.00012228354826576693,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
